compnumber,longname,shortname,status,countrycode,region,cik,mic,ticker,exchange,country
4441,Navistar International Corp.,Navistar International Corp.,Active,USA,North America,808450.0,1.8.1,NAV,NYS,USA
77222,Camden Property Trust,Camden Property Trust,Active,USA,North America,906345.0,5.3.1,CPT,NYS,USA
77794,Saul Centers Inc,Saul Centers Inc,Active,USA,North America,907254.0,5.3.1,BFS,NYS,USA
77126,Stone Energy Corp,Stone Energy Corp,Active,USA,North America,904080.0,9.1.1,SGY,NYS,USA
78332,Boyd Gaming Corp.,Boyd Gaming Corp.,Active,USA,North America,906553.0,2.2.1,BYD,NYS,USA
77419,Post Properties Inc,Post Properties Inc,Active,USA,North America,903127.0,5.3.1,PPS,NYS,USA
77164,"Organizacion Soriana, S.A.B. de C.V.","Organizacion Soriana, S.A.B.",Active,MEX,North America,1531870.0,2.1.2,,NL,MEX
77178,Milano Assicurazioni S.p.A.,Milano Assicurazioni S.p.A.,Active,ITA,Europe,1543728.0,5.2.2,,NL,ITA
69923,Doosan Corp. (Korea),Doosan Corp. (Korea),Active,KOR,Asia Pacific,,8.1.3,,,KOR
81935,Tomra Systems ASA,Tomra Systems ASA,Active,NOR,Europe,,7.2.1,TMRA F,NBB,NOR
94128,"Telstra Corp., Ltd.","Telstra Corp., Ltd.",Active,AUS,Asia Pacific,1046126.0,6.1.2,TLSY Y,NBB,AUS
67024,Rexel S.A.,Rexel S.A.,Active,FRA,Europe,,7.3.1,RXLS F,NBB,FRA
72170,Advanced Info Service Public Co Ltd,Advanced Info Service Public,Active,THA,Asia Pacific,,6.1.2,AVIF Y,NBB,THA
77316,Truly International Holdings Ltd.,Truly International Holdings,Active,CYM,Latin America,,7.3.1,TRUH F,NBB,HKG
66927,Transat AT Inc,Transat A.T. Inc,Active,CAN,North America,,2.2.1,TRZ,TSX,CAN
68668,Nicholas Financial Inc (BC),Nicholas Financial Inc (BC),Active,CAN,North America,1000045.0,5.4.1,NICK,NMS,USA
69745,Ramsay Health Care Ltd. (Australia),Ramsay Health Care Ltd. (Aus,Active,AUS,Asia Pacific,1636804.0,4.2.1,RHC,AUS,AUS
14620,Eiffage SA,Eiffage SA,Active,FRA,Europe,,7.5.4,EFGS F,NBB,FRA
77407,"Keisei Electric Railway Co., Ltd.","Keisei Electric Railway Co.,",Active,JPN,Asia Pacific,,7.4.3,KELR F,NBB,JPN
77442,"Tsingtao Brewery Co., Ltd.","Tsingtao Brewery Co., Ltd.",Active,CHN,Asia Pacific,,2.1.2,TSGT F,NBB,CHN
71354,Chow Sang Sang Holdings International Ltd.,Chow Sang Sang Holdings Inte,Active,BMU,Latin America,,2.1.3,CHOW F,NBB,HKG
82116,AMERCO,AMERCO,Active,USA,North America,4457.0,7.4.1,UHAL,NMS,USA
82558,"GUESS ?, Inc.","GUESS ?, Inc.",Active,USA,North America,912463.0,2.1.5,GES,NYS,USA
16238,Globe Telecom Inc (Philippines),Globe Telecom Inc (Philippine,Active,PHL,Asia Pacific,1454476.0,6.1.2,GTME Y,NBB,PHL
77729,Showa Shell Sekiyu K.K.,Showa Shell Sekiyu K.K.,Active,JPN,Asia Pacific,1573731.0,9.1.2,5002,TOK,JPN
53832,Enel Societa Per Azioni,Enel SpA,Active,ITA,Europe,1096200.0,3.1.1,ENLA Y,NBB,ITA
1249,CAE Inc,CAE Inc,Active,CAN,North America,1173382.0,7.1.1,CAE,NYS,CAN
78539,"Urban Outfitters, Inc.","Urban Outfitters, Inc.",Active,USA,North America,912615.0,2.1.5,URBN,NMS,USA
35277,NVR Inc.,NVR Inc.,Active,USA,North America,906163.0,2.2.5,NVR,NYS,USA
87441,Canadian Real Estate Investment Trust,Canadian Real Estate Investm,Active,CAN,North America,,5.3.1,REF UN,TSX,CAN
